Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Žaliųjų Ežerų g.,Verkiai,1,43.53,28200.0,Kietukuru,Medinis,1940,
 Raugyklos g.,Senamiestis,1,22.03,22000.0,Kietukuru,Mūrinis,1940,
 Pramonės g.,Naujoji Vilnia,2,48.02,14100.0,Kietukuru,Medinis,1940,
 Jonažolių g.,Lazdynai,2,68.07,132000.0,Centriniskolektorinis,Mūrinis,2015,
 Kalvarijų g.,Šnipiškės,2,41.46,56200.0,Kietukuru,Mūrinis,1940,
 Kalvarijų g.,Šnipiškės,3,58.7,32600.0,Kietukuru,Medinis,1940,
 Vasario 16-osios g.,Senamiestis,4,138.37,379000.0,Centrinis,Mūrinis,1954statyba.2007renovacija,
 Pavilnionių g.,Pašilaičiai,2,46.61,73500.0,Centriniskolektorinis,Mūrinis,2017,
 Lazdynėlių g.,Lazdynėliai,2,43.81,66500.0,Centriniskolektorinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,2,39.71,59000.0,Centriniskolektorinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,3,54.91,79000.0,Centriniskolektorinis,Mūrinis,2019,
 Trinapolio g.,Žirmūnai,3,79,220000.0,Centriniskolektorinis,Mūrinis,2009,
 Lazdynėlių g.,Lazdynėliai,3,68.43,105500.0,Dujinis,Mūrinis,2018,
 Lazdynėlių g.,Lazdynėliai,3,68.43,105500.0,Dujinis,Mūrinis,2017,
 Viršuliškių g.,Viršuliškės,4,95.58,145000.0,Centriniskolektorinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,3,59.71,102600.0,Centriniskolektorinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,2,51.37,89000.0,Centriniskolektorinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,2,43.2,76300.0,Centriniskolektorinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,1,29.66,52600.0,Centriniskolektorinis,Mūrinis,2019,
 S. Žukausko g.,Šiaurės miestelis,3,112.4,259000.0,Centriniskolektorinis,Mūrinis,2007,
 Rūdninkų g.,Senamiestis,11,290,800000.0,Centrinis,Mūrinis,1638,
 Panevėžio g.,Naujininkai,6,111.7,87000.0,Centrinis,Mūrinis,1980,
 Paribio g.,Žvėrynas,2,58.27,114000.0,Centriniskolektorinis,Mūrinis,2007,
 M. Mažvydo g.,Pilaitė,2,62.27,92000.0,Centriniskolektorinis,Mūrinis,2007,
 Skroblų g.,Naujamiestis,1,19,39000.0,Centrinis,Mūrinis,1990,
 Gabijos g.,Pašilaičiai,3,67.66,117000.0,Centriniskolektorinis,Mūrinis,2017,
 Mindaugo g.,Naujamiestis,3,70.78,119000.0,Dujinis,Mūrinis,1940,
 Mindaugo g.,Senamiestis,3,70.78,119000.0,Dujinis,Mūrinis,1940,
 Jogailos g.,Senamiestis,2,65,188253.0,Centrinis,Mūrinis,1940,
 Olimpiečių g.,Senamiestis,3,127,740000.0,Centriniskolektorinis,Mūrinis,2007,
 M. Daukšos g.,Senamiestis,3,52.26,150000.0,Centriniskolektorinis,Mūrinis,1940,
 M. Daukšos g.,Senamiestis,3,52.26,149990.0,Dujinis,Mūrinis,1940statyba.2016renovacija,
 Mindaugo g.,Senamiestis,5,240,360000.0,Kita.dujinis,Mūrinis,1998,
 Kernavės g.,Šnipiškės,3,73,165000.0,Dujinis,Mūrinis,2018,
 Turniškių g.,Turniškės,4,73.06,135000.0,Dujinis,Mūrinis,2018,
 Turniškių g.,Turniškės,2,38.58,76000.0,Dujinis,Mūrinis,2018statyba.2018renovacija,
 Blindžių g.,Žvėrynas,2,37.87,40000.0,Dujinis,Rąstinis,1940,
 T. Ševčenkos g.,Naujamiestis,2,74.22,92500.0,Dujinis,Mūrinis,2019,
 Sietyno g.,Karoliniškės,1,33,53490.0,Centriniskolektorinis,Blokinis,2017,
 Bajorų Sodų 17-oji g.,Bajorai,4,150,229000.0,Centriniskolektorinis,Mūrinis,2017,
 Bajorų Sodų 17-oji g.,Santariškės,4,150,229000.0,Centriniskolektorinis,Mūrinis,2017,
 Vanaginės Sodų 3-ioji g.,Bajorai,3,93,265000.0,Dujinis,Mūrinis,2015,
 Subačiaus g.,Užupis,1,35,17000.0,Kita,Medinis,1960,
 Naujoji g.,Naujoji Vilnia,2,51.14,37000.0,Kietukuru,Mūrinis,1958,
 Leičių g.,Pašilaičiai,3,66.63,78000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,66.63,78000.0,Centriniskolektorinis,Mūrinis,2019,
 Švyturio g.,Antakalnis,3,88,157000.0,Centrinis,Mūrinis,1980,
 Gėlių g.,Senamiestis,4,117.64,229000.0,Dujinis,Mūrinis,1940,
 Taikos g.,Justiniškės,4,80.82,79500.0,Centrinis,Blokinis,1985,
 Leičių g.,Pašilaičiai,2,53.88,58000.0,Centrinis,Mūrinis,2018,
 Laisvės pr.,Justiniškės,3,51.33,119000.0,Centriniskolektorinis,Mūrinis,2019,
 Gabijos g.,Pašilaičiai,3,70,115000.0,Centrinis,Mūrinis,2000,
 Savičiaus g.,Senamiestis,4,113.4,320000.0,Centrinis,Mūrinis,1940,
 Savičiaus g.,Senamiestis,4,113,320000.0,Centriniskolektorinis,Mūrinis,1999,
 Lvovo g.,Šnipiškės,2,47.59,124900.0,Centriniskolektorinis,Mūrinis,2018,
 Lvovo g.,Šnipiškės,2,48,124900.0,Centriniskolektorinis,Mūrinis,2018,
 Kalvarijų g.,Baltupiai,2,85.56,249500.0,Centriniskolektorinis.kita,Mūrinis,2005,
 Bokšto g.,Senamiestis,2,32,84000.0,Elektra,Mūrinis,1900,
 Kapsų g.,Naujininkai,1,26.61,15500.0,Centrinis,Mūrinis,1977,
 Šv. Jono g.,Senamiestis,4,80.85,305000.0,Centrinis,Mūrinis,1979,
 Šv. Jono g.,Senamiestis,3,80.85,305000.0,Centrinis,Mūrinis,1979,
 T. Ševčenkos g.,Naujamiestis,1,43.57,59900.0,Centrinis,Mūrinis,2020,
 Savanorių pr.,Paneriai,2,47.94,44192.0,Kita,Mūrinis,2019,
 Savanorių pr.,Žemieji Paneriai,2,47.94,44192.0,Kita,Mūrinis,2019,
 Savanorių pr.,Vilkpėdė,2,47.94,44192.0,Kita,Mūrinis,2019,
 T. Kosciuškos g.,Senamiestis,4,90,340000.0,Centriniskolektorinis,Mūrinis,2008,
 T. Kosciuškos g.,Senamiestis,4,90,340000.0,Centriniskolektorinis.centrinis,Mūrinis,2010,
 T. Kosciuškos g.,Antakalnis,4,90,340000.0,Centriniskolektorinis.centrinis,Mūrinis,2010,
 T. Kosciuškos g.,Antakalnis,4,90,340000.0,Centriniskolektorinis,Mūrinis,2008,
 Leičių g.,Pašilaičiai,3,71.37,73000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.36,74000.0,Centriniskolektorinis,Mūrinis,2019,
 Gedimino pr.,Senamiestis,3,72,185000.0,Centrinis,Mūrinis,1940,
 Lvovo g.,Šnipiškės,2,47.81,124550.0,Centriniskolektorinis,Mūrinis,2018,
 Lvovo g.,Šnipiškės,2,48,124550.0,Centriniskolektorinis,Mūrinis,2018,
 Karaliaučiaus g.,Pilaitė,1,30.21,62900.0,Centriniskolektorinis,Mūrinis,2017,
 Visorių g.,Jeruzalė,3,81,114500.0,Dujinis,Mūrinis,2000,
 Rato g.,Valakampiai,3,82,193000.0,Dujinis,Mūrinis,2004,
 Rato g.,Antakalnis,3,82,193000.0,Dujinis,Mūrinis,2004,
 Savanorių pr.,Žemieji Paneriai,2,81.12,72028.0,Kita,Mūrinis,2019,
 Savanorių pr.,Vilkpėdė,2,16.76,20023.0,Kita,Mūrinis,2019,
 Savanorių pr.,Žemieji Paneriai,2,16.76,20023.0,Kita,Mūrinis,2019,
 Savanorių pr.,Vilkpėdė,2,41.06,36031.0,Kita,Mūrinis,2019,
 Savanorių pr.,Žemieji Paneriai,2,41.06,36031.0,Kita,Mūrinis,2019,
 Savanorių pr.,Žemieji Paneriai,2,47,44192.0,Elektra,Mūrinis,2019,
 Savanorių pr.,Žemieji Paneriai,2,41,36014.0,Elektra,Mūrinis,2019,
 Kalvarijų g.,Žirmūnai,2,63.55,86000.0,Dujinis,Mūrinis,2019,
 Savanorių pr.,Žemieji Paneriai,2,29.44,36388.0,Kita,Mūrinis,2019,
 Bitėnų g.,Pilaitė,4,91.26,103000.0,Geoterminis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,4,91.26,103000.0,Geoterminis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,4,91.26,105000.0,Geoterminis,Mūrinis,2019,
 Sėlių g.,Žvėrynas,2,34,49500.0,Elektra,Mūrinis,1964,
 Vokiečių g.,Senamiestis,4,95,289000.0,Dujinis,Mūrinis,1958,
 Vokiečių g.,Senamiestis,3,95,299000.0,Dujinis,Blokinis,1958,
 J. Basanavičiaus g.,Naujamiestis,4,87,199900.0,Centrinis,Mūrinis,1940,
 M. Antokolskio g.,Senamiestis,1,27,117500.0,Centrinis,Mūrinis,1961,
 M. Antokolskio g.,Senamiestis,1,27.33,117500.0,Centrinis,Mūrinis,1961,
 Kalvarijų g.,Žirmūnai,3,52.62,95900.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Šnipiškės,3,52.64,95900.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Šnipiškės,2,44.75,65000.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Žirmūnai,2,44.75,65000.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Žirmūnai,3,60.43,96100.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Šnipiškės,3,60.43,96100.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Šnipiškės,3,52.62,79900.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Žirmūnai,3,52.64,79900.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Kalvarijų g.,Žirmūnai,2,44.75,81000.0,Centriniskolektorinis.dujinis,Mūrinis,2019,
 Norvegų g.,Kalnėnai,3,66.05,89000.0,Dujinis,Mūrinis,2019,
 Apolinaro Juozo Povilaičio g.,Karoliniškės,4,78,86000.0,Centrinis,Blokinis,1974,
 T. Ševčenkos g.,Naujamiestis,3,64.5,77400.0,Centrinis,Mūrinis,2020,
 T. Ševčenkos g.,Naujamiestis,2,38,47950.0,Centriniskolektorinis,Mūrinis,2020,
 Giedraičių g.,Šnipiškės,3,58.62,133400.0,Centriniskolektorinis,Blokinis,2018,
 Giedraičių g.,Šnipiškės,4,95.61,205000.0,Centriniskolektorinis,Blokinis,2018,
 Vašingtono a.,Senamiestis,5,204.12,399000.0,Dujinis,Mūrinis,1952,
 Justiniškių g.,Justiniškės,1,39.91,52000.0,Centrinis,Blokinis,1985,
 Kašubų g.,Kalnėnai,4,82.63,95000.0,Geoterminis,Mūrinis,2019,
 Rygos g.,Justiniškės,2,62,105000.0,Centriniskolektorinis,Mūrinis,2010,
 Rygos g.,Justiniškės,2,62,110000.0,Centriniskolektorinis,Mūrinis,2010,
 Pilies g.,Senamiestis,4,107,400000.0,Dujinis,Mūrinis,1940,
 Raugyklos g.,Senamiestis,3,74.2,235800.0,Centriniskolektorinis,Mūrinis,2019,
 Dzūkų g.,Naujininkai,3,54,67900.0,Centrinis,Mūrinis,1965,
 Rato g.,Valakampiai,2,65,189999.0,Dujinis,Mūrinis,2006,
 Architektų g.,Lazdynai,2,47,55000.0,Centrinis,Blokinis,1970,
 Valonų g.,Kalnėnai,4,90,90000.0,Dujinis,Mūrinis,2019,
 Saltoniškių g.,Žvėrynas,2,58,130000.0,Centriniskolektorinis,Mūrinis,2019,
 Eišiškių pl.,Naujininkai,1,35,65000.0,Centriniskolektorinis,Monolitinis,2019,
 Smolensko g.,Naujamiestis,3,66.65,120000.0,Centriniskolektorinis.kita,Mūrinis,2011,
 Šaltkalvių g.,Naujininkai,1,26,38900.0,Centrinis,Mūrinis,1966,
 S. Konarskio g.,Naujamiestis,4,105.53,179000.0,Centrinis,Mūrinis,1956,
 S. Konarskio g.,Naujamiestis,3,105.53,179000.0,Centrinis,Mūrinis,1956,
 Pylimo g.,Senamiestis,2,50,130000.0,Dujinis,Mūrinis,1940,
 Šv. Stepono g.,Senamiestis,2,50,130000.0,Dujinis,Mūrinis,1940,
 Pamėnkalnio g.,Senamiestis,1,27.58,77900.0,Centrinis,Mūrinis,1913,
 Pamėnkalnio g.,Naujamiestis,1,27.58,77900.0,Centrinis,Mūrinis,1913,
 Leičių g.,Pašilaičiai,2,53.88,65000.0,Centriniskolektorinis,Mūrinis,2019,
 Konstitucijos pr.,Šnipiškės,3,98,245000.0,Kita,Monolitinis,2007,
 Konstitucijos pr.,Šnipiškės,3,98,245000.0,Kita.centriniskolektorinis.centrinis,Monolitinis,2007,
 Eišiškių pl.,Naujininkai,3,72,108000.0,Centriniskolektorinis,Monolitinis,2019,
 Skalvos g.,Didieji Gulbinai,4,81,89000.0,Geoterminis,Mūrinis,2019,
 Sėlių g.,Žvėrynas,1,32.91,22000.0,Centrinis.elektra.kita,Mūrinis,1984,
 Sėlių g.,Žvėrynas,2,63.23,52000.0,Centrinis.elektra.kita,Mūrinis,1984,
 Erfurto g.,Lazdynai,1,33,45000.0,Centrinis,Blokinis,1970,
 Šiaulių g.,Senamiestis,3,94,500000.0,Centriniskolektorinis,Mūrinis,2007,
 Bukčių g.,Lazdynai,3,62,95000.0,Centrinis,Mūrinis,1979,
 Loretos Asanavičiūtės g.,Karoliniškės,1,33,53000.0,Centriniskolektorinis,Mūrinis,1978statyba.2017renovacija,
 Loretos Asanavičiūtės g.,Karoliniškės,1,33,52000.0,Centrinis,Blokinis,1977statyba.2018renovacija,
 Konstitucijos pr.,Šnipiškės,2,41.03,105857.0,Centriniskolektorinis,Monolitinis,2019,
 Pilaitės Sodų 4-oji g.,Pilaitė,3,70.27,148000.0,Dujinis,Mūrinis,2016,
 Pavilnionių g.,Pašilaičiai,2,54,85900.0,Dujinis,Mūrinis,2018,
 Trakėnų g.,Pilaitė,2,55,106000.0,Centriniskolektorinis,Mūrinis,2007,
 Konstitucijos pr.,Šnipiškės,2,54.38,142748.0,Centriniskolektorinis,Monolitinis,2019,
 Siesikų g.,Šeškinė,2,37.44,77100.0,Centriniskolektorinis,Kita,2019,
 Raugyklos g.,Naujamiestis,2,34.5,107500.0,Centriniskolektorinis,Mūrinis,2019,
 Liepkalnio g.,Naujininkai,3,60,119900.0,Dujinis,Mūrinis,2009,
 Liepkalnio g.,Senamiestis,3,60,119900.0,Dujinis,Mūrinis,2009,
 Bajorų Sodų 2-oji g.,Bajorai,1,31.41,63000.0,Dujinis,Blokinis,2014,
 Laisvės pr.,Justiniškės,2,37.84,58600.0,Centriniskolektorinis,Mūrinis,2019,
 Laisvės pr.,Justiniškės,2,37.84,58600.0,Centriniskolektorinis,Mūrinis,2019,
 Konstitucijos pr.,Šnipiškės,2,44.11,116000.0,Centriniskolektorinis,Monolitinis,2019,
 J. Jasinskio g.,Naujamiestis,3,66,210000.0,Centriniskolektorinis,Mūrinis,2017,
 Karaliaučiaus g.,Pilaitė,2,58.25,88000.0,Centrinis,Mūrinis,2006,
 Karaliaučiaus g.,Pilaitė,2,58,88000.0,Centrinis,Kita,2005,
 Virginijaus Druskio g.,Karoliniškės,2,45.6,52000.0,Centrinis,Blokinis,1973,
 Pažagiškių g.,Lazdynėliai,6,174,249000.0,Dujinis,Mūrinis,2006,
 Juodšilių g.,Aukštieji Paneriai,1,15,13500.0,Centrinis,Mūrinis,1985,
 Taikos g.,Justiniškės,1,36,55000.0,Centrinis,Blokinis,1987,
 Budiniškių g.,Pašilaičiai,4,70.76,113950.0,Centriniskolektorinis,Mūrinis,2019,
 Budiniškių g.,Pašilaičiai,3,70.76,111250.0,Centriniskolektorinis,Mūrinis,2019,
 Skersinės Sodų 2-oji g.,Santariškės,4,137,220000.0,Aeroterminis.dujinis,Mūrinis,2019,
 M. K. Čiurlionio g.,Naujamiestis,2,60.33,325000.0,Centrinis,Mūrinis,2017,
 Skersinės Sodų 3-ioji g.,Santariškės,4,95.66,144000.0,Aeroterminis.dujinis,Mūrinis,2019,
 Skersinės Sodų 3-ioji g.,Santariškės,4,91.02,139000.0,Aeroterminis.dujinis,Mūrinis,2019,
 Skersinės Sodų 3-ioji g.,Santariškės,4,86.88,134000.0,Aeroterminis.dujinis,Mūrinis,2019,
 Laisvės pr.,Pašilaičiai,1,36.1,69000.0,Centriniskolektorinis,Mūrinis,2018,
 Laisvės pr.,Pašilaičiai,2,33.74,56000.0,Centriniskolektorinis,Mūrinis,2018,
 Girulių g.,Pašilaičiai,3,63.94,98900.0,Centriniskolektorinis,Mūrinis,2008,
 M. Antokolskio g.,Senamiestis,2,45,157000.0,Centrinis,Mūrinis,1940,
 Teatro g.,Senamiestis,6,155,449900.0,Elektra,Mūrinis,1940,
 Savanorių pr.,Naujamiestis,2,47.72,52600.0,Centrinis,Blokinis,1964,
 Dariaus ir Girėno g.,Naujininkai,4,83,96000.0,Dujinis,Mūrinis,1999,
 Turniškių g.,Turniškės,3,48,165000.0,Geoterminis,Mūrinis,2017,
 Turniškių g.,Valakampiai,2,48.06,165000.0,Geoterminis,Mūrinis,2017,
 Turniškių g.,Valakampiai,2,48,165000.0,Geoterminis,Monolitinis,2017,
 Turniškių g.,Antakalnis,2,48.06,165000.0,Geoterminis,Mūrinis,2017,
 Avižienių g.,Tarandė,3,72,86000.0,Dujinis,Mūrinis,2017,
 Perkūnkiemio g.,Pašilaičiai,3,85,125000.0,Centriniskolektorinis,Mūrinis,2008,
 Budiniškių g.,Pašilaičiai,1,27.33,48900.0,Centriniskolektorinis,Mūrinis,2019,
 Budiniškių g.,Pašilaičiai,2,30.57,47700.0,Centriniskolektorinis,Mūrinis,2019,
 Geležinio Vilko g.,Vilkpėdė,5,77.61,109000.0,Centrinis,Mūrinis,1958,
 Geležinio Vilko g.,Naujamiestis,3,77.61,109000.0,Centrinis,Mūrinis,1958,
 Taikos g.,Justiniškės,3,70.23,85000.0,Centrinis,Blokinis,1996,
 Pramonės g.,Naujoji Vilnia,1,19.44,32000.0,Dujinis,Mūrinis,1969,
 Šv. Stepono g.,Senamiestis,1,30.23,59900.0,Centrinis,Mūrinis,1940,
 Rinktinės g.,Šnipiškės,3,80.27,158935.0,Centriniskolektorinis,Kita,2020,
 Rinktinės g.,Šnipiškės,5,123.62,219447.0,Centriniskolektorinis,Kita,2020,
 Rinktinės g.,Šnipiškės,3,74.5,151980.0,Centriniskolektorinis,Kita,2020,
 Z. Sierakausko g.,Senamiestis,5,129.17,340000.0,Dujinis,Mūrinis,1940,
 Rinktinės g.,Šnipiškės,3,82.45,162427.0,Centriniskolektorinis,Kita,2020,
 Mykolo Marcinkevičiaus g.,Santariškės,3,112,117900.0,Centriniskolektorinis,Mūrinis,1999,
 Rinktinės g.,Šnipiškės,2,55.64,105716.0,Centriniskolektorinis,Kita,2020,
 Fizikų g.,Bajorai,5,111.18,126348.0,Centriniskolektorinis,Kita,2015,
 Parko g.,Naujoji Vilnia,2,40,37500.0,Centrinis,Mūrinis,1980,
 Užupio g.,Užupis,6,158,439000.0,Dujinis,Mūrinis,1940,
 Užupio g.,Užupis,6,158,439000.0,Elektra.dujinis.kietukuru,Mūrinis,1940,
 Užupio g.,Senamiestis,6,158,439000.0,Elektra.dujinis.kietukuru,Mūrinis,1940,
 Antano Tumėno g.,Žvėrynas,4,180,900000.0,Centriniskolektorinis,Monolitinis,2007,
 Antano Tumėno g.,Senamiestis,4,180,900000.0,Centriniskolektorinis,Monolitinis,2007,
 Antano Tumėno g.,Žvėrynas,3,150,570000.0,Centriniskolektorinis,Monolitinis,2007,
 A. Kojelavičiaus g.,Naujoji Vilnia,4,190.57,130000.0,Dujinis,Mūrinis,2013statyba.2013renovacija,
 Mindaugo g.,Naujamiestis,3,73,195000.0,Dujinis,Mūrinis,1998,
 Mindaugo g.,Naujamiestis,2,73,195000.0,Dujinis,Mūrinis,1998,
 Lietaus g.,Lazdynėliai,1,38.79,69000.0,Centriniskolektorinis,Mūrinis,2018,
 Paplaujos g.,Užupis,4,68.96,162056.0,Centriniskolektorinis,Monolitinis,2019,
 Laisvės pr.,Šeškinė,2,36.21,57500.0,Centriniskolektorinis,Mūrinis,2019,
 Paplaujos g.,Užupis,2,51.03,99508.0,Centriniskolektorinis,Monolitinis,2019,
 Laisvės pr.,Šeškinė,1,30.13,47000.0,Centriniskolektorinis,Mūrinis,2019,
 Paplaujos g.,Markučiai,3,59.75,98588.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,3,59.75,98588.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,3,59.75,98588.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,2,46.69,79373.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,2,46.69,79373.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Markučiai,1,30.43,50209.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,1,30.43,50209.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,1,30.43,50209.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Markučiai,1,30.43,50209.0,Centriniskolektorinis,Monolitinis,2019,
 Latvių g.,Žvėrynas,3,74.55,165000.0,Dujinis,Mūrinis,1909,
 Pavilnionių g.,Pašilaičiai,2,54.5,68000.0,Dujinis,Mūrinis,2018,
 Lūšių g.,Žvėrynas,4,137,290000.0,Centriniskolektorinis,Mūrinis,1995,
 Budiniškių g.,Pašilaičiai,1,25.02,40800.0,Centriniskolektorinis,Mūrinis,2019,
 Perkūnkiemio g.,Pašilaičiai,2,56.32,90000.0,Centriniskolektorinis,Blokinis,2009,
 Čiobiškio g.,Šeškinė,1,35.34,50000.0,Centriniskolektorinis,Blokinis,1980statyba.2017renovacija,
 Gilužio g.,Pilaitė,4,90,129000.0,Centriniskolektorinis,Mūrinis,2005,
 Jurgio Lebedžio g.,Žirmūnai,1,38.2,67700.0,Centriniskolektorinis,Mūrinis,2017,
 Darbininkų g.,Naujininkai,3,50,52000.0,Centrinis,Mūrinis,1964,
 Kolektyvo g.,Baltupiai,2,27.81,59900.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Kolektyvo g.,Baltupiai,2,29.23,44000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Kolektyvo g.,Baltupiai,2,26.02,51000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Karių Kapų g.,Antakalnis,4,158,260000.0,Dujinis,Mūrinis,1998,
 Santariškių g.,Santariškės,1,33.11,65000.0,Centriniskolektorinis,Mūrinis,2005,
 Lizdeikos g.,Valakampiai,3,79.46,245000.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Visoriai,2,54,99000.0,Centriniskolektorinis,Mūrinis,2018,
 Plytų g.,Pavilnys,1,30,28400.0,Kita,Rąstinis,1940,
 L. Sapiegos g.,Antakalnis,3,119.91,249000.0,Dujinis,Mūrinis,2005,
 Jaunimo skg.,Grigiškės,2,36,34400.0,Centrinis,Mūrinis,1971,
 Jaunimo skg.,Grigiškės,1,18,17850.0,Centrinis,Mūrinis,1971,
 Santariškių g.,Santariškės,2,53,114900.0,Centriniskolektorinis,Mūrinis,2013,
 Mokslininkų g.,Bajorai,2,46.5,102000.0,Centriniskolektorinis,Mūrinis,2014,
 L. Giros g.,Fabijoniškės,4,80.19,78990.0,Centrinis,Mūrinis,1990,
 Vytauto g.,Žvėrynas,7,195,450000.0,Dujinis,Mūrinis,1999,
 Konstitucijos pr.,Šnipiškės,2,72,199900.0,Centriniskolektorinis,Monolitinis,2008,
 Fizikų g.,Bajorai,3,61.6,96000.0,Centriniskolektorinis,Mūrinis,2008,
 Fizikų g.,Santariškės,2,61.6,96000.0,Centriniskolektorinis,Mūrinis,2008,
 Fizikų g.,Visoriai,2,61.6,96000.0,Centriniskolektorinis,Mūrinis,2008,
 Fizikų g.,Bajorai,2,61.6,96000.0,Centriniskolektorinis,Mūrinis,2008,
 Virginijaus Druskio g.,Karoliniškės,1,32.4,49000.0,Centrinis,Blokinis,1972,
 Tramvajų g.,Antakalnis,3,70,116000.0,Centrinis,Mūrinis,1958,
 Gedimino pr.,Senamiestis,5,210,520000.0,Centriniskolektorinis,Mūrinis,1996,
 Ankštoji g.,Senamiestis,5,210,520000.0,Centriniskolektorinis,Mūrinis,1996,
 Gedimino pr.,Senamiestis,5,209.81,520000.0,Centriniskolektorinis,Mūrinis,1997,
 Vytenio g.,Naujamiestis,2,28.23,53900.0,Dujinis,Mūrinis,1949statyba.2019renovacija,
 Vytenio g.,Naujamiestis,2,28.72,53900.0,Dujinis,Mūrinis,1949statyba.2019renovacija,
 Dominikonų g.,Senamiestis,2,59.15,225000.0,Dujinis,Mūrinis,1940,
 Polocko g.,Užupis,4,115,449000.0,Centriniskolektorinis,Mūrinis,2015,
 Savanorių pr.,Naujamiestis,2,65,135000.0,Centriniskolektorinis,Monolitinis,2011,
 Savanorių pr.,Naujamiestis,2,64,135000.0,Centrinis.centriniskolektorinis,Monolitinis,2011,
 Pilies g.,Senamiestis,3,76,269000.0,Centrinis,Mūrinis,1940,
 Aludarių g.,Senamiestis,3,70,140000.0,Centrinis.centriniskolektorinis,Mūrinis,1940,
 Aludarių g.,Senamiestis,3,78,156000.0,Centrinis.centriniskolektorinis,Mūrinis,1940,
 Aludarių g.,Senamiestis,3,64,128000.0,Centrinis.centriniskolektorinis,Mūrinis,1940,
 Gluosnių g.,Naujoji Vilnia,2,31,33000.0,Kietukuru,Rąstinis,1971,
 Lvovo g.,Šnipiškės,1,32.52,84050.0,Centriniskolektorinis,Mūrinis,2018,
 Lvovo g.,Šnipiškės,2,33,84050.0,Centriniskolektorinis,Mūrinis,2018,
 Lapų g.,Senamiestis,3,62,128000.0,Dujinis,Mūrinis,1940,
 Turniškių g.,Turniškės,2,61,225000.0,Geoterminis,Monolitinis,2017,
 Turniškių g.,Valakampiai,2,61,225000.0,Geoterminis,Monolitinis,2017,
 Turniškių g.,Antakalnis,2,61,225000.0,Geoterminis,Monolitinis,2017,
 Smalinės g.,Pilaitė,4,88,83900.0,Centrinis,Blokinis,1992,
 Vingrių g.,Senamiestis,3,76.06,233500.0,Centriniskolektorinis,Mūrinis,2020,
 Vingrių g.,Senamiestis,2,43.43,139000.0,Centriniskolektorinis,Mūrinis,2020,
 Lazdynėlių g.,Lazdynėliai,3,58.3,83000.0,Centriniskolektorinis,Mūrinis,2019,
 Vingrių g.,Senamiestis,5,165,429000.0,Centriniskolektorinis,Mūrinis,2020,
 Vingrių g.,Senamiestis,4,84.08,239000.0,Centriniskolektorinis,Mūrinis,2019,
 Vingrių g.,Senamiestis,4,88.5,216000.0,Centriniskolektorinis,Mūrinis,2020,
 Dominikonų g.,Senamiestis,4,108.05,289000.0,Centrinis,Mūrinis,1940,
 Dominikonų g.,Senamiestis,4,108.05,289000.0,Centrinis,Mūrinis,1940,
 Gerosios Vilties g.,Naujamiestis,2,44,55800.0,Centrinis,Blokinis,1964,
 Mileišiškių g.,Antakalnis,5,192.34,195000.0,Dujinis,Mūrinis,2009,
 Erfurto g.,Lazdynai,3,63.87,64999.0,Centrinis,Blokinis,1969,
 Rinktinės g.,Šnipiškės,1,33.7,81481.0,Centriniskolektorinis,Kita,2018,
 Rinktinės g.,Šnipiškės,1,33.7,81481.0,Centriniskolektorinis,Kita,2018,
