Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Gerovės g.,Naujoji Vilnia,2,41,44999.0,Centrinis,Mūrinis,1964,
 Genių g.,Naujoji Vilnia,4,83.3,93000.0,Centrinis,Blokinis,1970,
 Savanorių pr.,Naujamiestis,3,69,84000.0,Centrinis,Blokinis,1975,
 Brolių g.,Naujininkai,4,70,88000.0,Centrinis,Mūrinis,1971,
 Turniškių g.,Valakampiai,3,72,198000.0,Centrinis.elektra.centriniskolektorinis,Mūrinis,1968,
 Bitėnų g.,Pilaitė,3,72.45,112000.0,Centriniskolektorinis,Mūrinis,2002,
 Šeimyniškių g.,Žirmūnai,4,121.28,219000.0,Centrinis,Mūrinis,2009,
 Viršuliškių skg.,Viršuliškės,3,53.35,82000.0,Centriniskolektorinis.geoterminis,Kita,2018,
 Pilaitės pr.,Karoliniškės,3,62.18,87800.0,Centriniskolektorinis.geoterminis,Kita,2018,
 Viršuliškių g.,Justiniškės,2,42.36,65800.0,Centriniskolektorinis.geoterminis,Kita,2018,
 Paplaujos g.,Užupis,3,59.75,98588.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,2,47.02,75232.0,Centriniskolektorinis,Monolitinis,2019,
 Tolminkiemio g.,Pilaitė,2,54.28,72000.0,Centrinis,Blokinis,1998,
 L. Giros g.,Fabijoniškės,1,40.34,46900.0,Centrinis,Blokinis,1991,
 V. Grybo g.,Antakalnis,2,49.96,118690.0,Kita,Mūrinis,2019,
 Pylimėlių g.,Antakalnis,5,173,159000.0,Dujinis,Mūrinis,2019,
 Pylimėlių g.,Antakalnis,4,137,129500.0,Dujinis,Mūrinis,2019,
 Žirmūnų g.,Žirmūnai,2,44.51,55300.0,Centrinis,Blokinis,1966,
 Kernavės g.,Šnipiškės,3,80.22,189300.0,Centriniskolektorinis,Mūrinis,2020,
 Kernavės g.,Šnipiškės,3,52.19,91600.0,Centriniskolektorinis,Mūrinis,2020,
 Lazdynėlių g.,Lazdynėliai,3,63,91000.0,Centriniskolektorinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,2,35.88,58000.0,Centriniskolektorinis,Mūrinis,2020,
 Kazio Ulvydo g.,Šnipiškės,2,47.25,99900.0,Centriniskolektorinis,Mūrinis,2015,
 Kazio Ulvydo g.,Žirmūnai,2,47.25,99900.0,Centriniskolektorinis,Mūrinis,2015,
 Konstitucijos pr.,Šnipiškės,4,188.21,846945.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Naujamiestis,4,188.21,846945.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Naujamiestis,3,114,601550.0,Centriniskolektorinis,Monolitinis,2019,
 Konstitucijos pr.,Šnipiškės,3,114,601550.0,Centriniskolektorinis,Monolitinis,2019,
 Danės g.,Pilaitė,3,65.34,92000.0,Geoterminis,Mūrinis,2017,
 Danės g.,Pilaitė,3,65,135000.0,Geoterminis,Mūrinis,2018,
 S. Konarskio g.,Naujamiestis,2,44.43,83500.0,Centrinis,Blokinis,1964,
 Karaliaučiaus g.,Pilaitė,3,86,130000.0,Centriniskolektorinis,Mūrinis,2014,
